,SSA,PS,C,H,O,N,ASH,pHBC,EC,BCA,SM,T,TS,VS,pHAD,DT,MY,Rmax
0,25.3,1,12.54,1.006,1.27,0.13,85.054,6.85,0.26,10,17.415,35,39.5,88.2,6.85,50,189,19.68
1,16.99,0.35,65.11,2.6,31.22,0.01,0.98,5.62,0.468,10,0.8667,25,4.96,71.77,7.05,31,150.92,3.231441048
2,13.17,0.35,72.67,1.97,23.69,0.13,1.47,5.77,0.499,10,0.8667,25,4.96,71.77,7.05,31,147.44,2.925764192
3,18.36,0.35,78.94,1.77,15.9,0.48,2.87,6.08,0.512,10,0.8667,25,4.96,71.77,7.05,31,147.44,2.969432314
4,18.39,0.35,80.31,0.24,16.05,0.14,3.2,6.13,0.636,10,0.8667,25,4.96,71.77,7.05,31,81.37,1.746724891
5,16.99,0.35,65.11,2.6,31.22,0.01,0.98,5.62,0.468,10,0.8667,37,4.96,71.77,7.05,13.5,187.09,15.63318777
6,13.17,0.35,72.67,1.97,23.69,0.13,1.47,5.77,0.499,10,0.8667,37,4.96,71.77,7.05,13.5,187.09,15.63318777
7,18.36,0.35,78.94,1.77,15.9,0.48,2.87,6.08,0.512,10,0.8667,37,4.96,71.77,7.05,13.5,182.18,15.80786026
8,18.39,0.35,80.31,0.24,16.05,0.14,3.2,6.13,0.636,10,0.8667,37,4.96,71.77,7.05,13.5,179.36,14.75982533
9,16.99,0.35,65.11,2.6,31.22,0.01,0.98,5.62,0.468,10,0.8667,55,4.96,71.77,7.05,22,183.58,10.91703057
10,13.17,0.35,72.67,1.97,23.69,0.13,1.47,5.77,0.499,10,0.8667,55,4.96,71.77,7.05,22,148.39,10.74235808
11,18.36,0.35,78.94,1.77,15.9,0.48,2.87,6.08,0.512,10,0.8667,55,4.96,71.77,7.05,22,162.14,10.56768559
12,18.39,0.35,80.31,0.24,16.05,0.14,3.2,6.13,0.636,10,0.8667,55,4.96,71.77,7.05,22,197.14,9.868995633
13,1.99,0.85,61.64,5.47,25.37,0.69,6.83,9.23,0.03788,10,3,37,27.18,93.819,7.43338,38,321.57,43.6059
14,252.97,0.85,71.4,2.71,6.46,0.4,19.03,9.49,0.04713,10,3,37,27.18,93.819,7.740741064,38,424.51,45.3119
15,263.24,0.85,76.01,1.56,2.28,0,20.15,9.64,0.05319,10,3,37,27.18,93.819,8.357297447,38,492.16,53.6319
16,56.6,0.15,65.31,2.09,12.82,0.29,20.8,8.3,0.324992255,6.2,19.9596,35,11.6,56.9,6.75,34,149,17.18
17,56.6,0.15,65.31,2.09,12.82,0.29,20.8,8.3,0.848182309,15.9,19.9596,35,11.6,56.9,6.75,34,185,17.08
18,56.6,0.15,65.31,2.09,12.82,0.29,20.8,8.3,1.553126031,26.1,19.9596,35,11.6,56.9,6.75,34,199,13.79
19,56.6,0.15,65.31,2.09,12.82,0.29,20.8,8.3,1.550881258,34.2,19.9596,35,11.6,56.9,6.75,34,138,10.74
20,26.3,0.15,69.88,1.92,19.82,1.03,3.6,9.7,0.534560209,6.2,19.9596,35,11.6,56.9,6.75,34,141,13.34
21,26.3,0.15,69.88,1.92,19.82,1.03,3.6,9.7,0.679698993,15.9,19.9596,35,11.6,56.9,6.75,34,153,13.93
22,26.3,0.15,69.88,1.92,19.82,1.03,3.6,9.7,1.349125538,26.1,19.9596,35,11.6,56.9,6.75,34,169,14.56
23,26.3,0.15,69.88,1.92,19.82,1.03,3.6,9.7,1.339530338,34.2,19.9596,35,11.6,56.9,6.75,34,184,15.02
24,1.92,0.15,16.86,1.62,26.63,2.27,56.3,9.5,2.380627909,6.2,19.9596,35,11.6,56.9,6.75,34,141,10.03
25,1.92,0.15,16.86,1.62,26.63,2.27,56.3,9.5,2.538802689,15.9,19.9596,35,11.6,56.9,6.75,34,156,12.57
